PurchaseID,PurchaseDate,CustomerEmail,Country,CustomerAge,Category,UnitPrice,Quantity,DiscountPct,PaymentMethod,SatisfactionRating
1,2024-04-20,customer0@hotmail.com,Japan,42.0,Clothing,37.39,5,0.05,Bank Transfer,4.0
2,2024-12-29,customer1@yahoo.com,Brazil,72.0,Automotive,64.78,4,0.15,Credit Card,4.0
3,2023-12-21,customer2@gmail.com,Brazil,52.0,Electronics,60.98,1,0.05,Gift Card,4.0
4,2024-01-09,customer3@protonmail.com,United Kingdom,62.0,Home & Kitchen,61.92,1,0.0,Credit Card,4.0
5,2024-08-29,customer4@gmail.com,Canada,21.0,Office Supplies,95.42,4,0.05,Credit Card,3.0
6,2023-09-09,customer5@protonmail.com,Australia,68.0,Electronics,108.85,4,0.0,Gift Card,3.0
7,2023-04-13,customer6@hotmail.com,France,39.0,Clothing,166.92,3,0.05,Credit Card,4.0
8,2024-06-09,customer7@outlook.com,United Kingdom,62.0,Books,20.15,4,0.05,Debit Card,4.0
9,2024-04-19,customer8@outlook.com,Canada,38.0,Sports & Outdoors,85.6,2,0.15,PayPal,5.0
10,2023-12-09,customer9@outlook.com,India,56.0,Sports & Outdoors,80.12,2,0.0,Credit Card,4.0
11,2023-10-10,customer10@gmail.com,United States,48.0,Sports & Outdoors,59.25,3,0.15,PayPal,4.0
12,2023-01-22,customer11@protonmail.com,Canada,61.0,Office Supplies,47.43,4,0.2,Debit Card,2.0
13,2024-02-11,customer12@hotmail.com,Germany,71.0,Clothing,98.35,5,0.2,Credit Card,5.0
14,2024-02-04,customer13@protonmail.com,United Kingdom,47.0,Books,103.65,2,0.25,Credit Card,4.0
15,2024-01-12,customer14@outlook.com,United States,19.0,Office Supplies,63.9,4,0.15,Credit Card,5.0
16,2023-08-10,customer15@protonmail.com,United Kingdom,32.0,Electronics,52.4,3,0.25,Debit Card,3.0
17,2023-04-21,customer16@gmail.com,Germany,37.0,Office Supplies,115.06,5,0.0,Credit Card,5.0
18,2024-02-21,customer17@hotmail.com,France,23.0,Office Supplies,48.02,5,0.0,PayPal,5.0
19,2024-03-28,customer18@protonmail.com,Australia,45.0,Office Supplies,150.88,1,0.0,Debit Card,
20,2023-05-07,customer19@outlook.com,Canada,52.0,Electronics,61.47,4,0.25,Credit Card,4.0
21,2023-03-29,customer20@outlook.com,Mexico,46.0,Toys,44.42,1,0.0,PayPal,2.0
22,2023-12-19,customer21@protonmail.com,Australia,30.0,Grocery,76.6,3,0.0,Debit Card,4.0
23,2023-02-04,customer22@yahoo.com,France,39.0,Clothing,18.19,2,0.15,Bank Transfer,3.0
24,2023-05-22,customer23@gmail.com,Brazil,64.0,Toys,50.03,2,0.0,Debit Card,
25,2024-04-09,customer24@yahoo.com,Mexico,,Home & Kitchen,34.18,2,0.1,Gift Card,2.0
26,2023-08-07,customer25@protonmail.com,United States,48.0,Electronics,11.69,3,0.0,Gift Card,5.0
27,2023-12-03,customer26@yahoo.com,Australia,63.0,Grocery,82.48,5,0.05,Debit Card,5.0
28,2024-05-16,customer27@yahoo.com,India,74.0,Office Supplies,60.24,3,0.2,Debit Card,5.0
29,2023-05-10,customer28@outlook.com,United Kingdom,,Electronics,59.14,5,0.1,Credit Card,5.0
30,2023-06-16,customer29@outlook.com,India,39.0,Electronics,45.07,5,0.0,Debit Card,4.0
31,2023-08-06,customer30@protonmail.com,Australia,54.0,Toys,124.71,2,0.0,Debit Card,
32,2023-11-01,customer31@hotmail.com,United States,41.0,Electronics,61.57,5,0.15,Debit Card,4.0
33,2024-02-13,customer32@hotmail.com,India,63.0,Sports & Outdoors,22.23,2,0.15,Credit Card,5.0
34,2023-02-23,customer33@gmail.com,United States,33.0,Beauty,87.92,1,0.2,Gift Card,4.0
35,2023-12-12,customer34@protonmail.com,Brazil,35.0,Clothing,31.45,2,0.0,Credit Card,5.0
36,2024-05-16,customer35@yahoo.com,Australia,34.0,Beauty,26.2,3,0.05,PayPal,
37,2024-09-13,customer36@gmail.com,Brazil,62.0,Electronics,43.14,1,0.0,Gift Card,5.0
38,2024-01-29,customer37@yahoo.com,Germany,45.0,Clothing,52.91,3,0.2,Credit Card,4.0
39,2024-04-01,customer38@hotmail.com,Canada,59.0,Grocery,76.65,3,0.0,Debit Card,3.0
40,2024-08-17,customer39@gmail.com,France,21.0,Electronics,71.06,4,0.0,Debit Card,5.0
41,2024-06-14,customer40@hotmail.com,Brazil,61.0,Home & Kitchen,36.36,5,0.1,Bank Transfer,4.0
42,2024-01-26,customer41@gmail.com,Australia,,Sports & Outdoors,108.52,1,0.0,Gift Card,5.0
43,2024-02-18,customer42@protonmail.com,United States,25.0,Home & Kitchen,53.23,5,0.2,Debit Card,5.0
44,2024-12-26,customer43@gmail.com,Japan,23.0,Books,52.89,5,0.05,Bank Transfer,5.0
45,2024-07-06,customer44@protonmail.com,France,,Grocery,59.56,1,0.1,Credit Card,5.0
46,2023-06-26,customer45@hotmail.com,Brazil,69.0,Home & Kitchen,28.98,4,0.15,Credit Card,4.0
47,2023-11-28,customer46@gmail.com,Mexico,65.0,Clothing,181.01,2,0.15,Debit Card,5.0
48,2024-06-25,customer47@outlook.com,India,40.0,Electronics,104.19,1,0.0,PayPal,5.0
49,2024-01-17,customer48@gmail.com,Mexico,71.0,Beauty,34.72,4,0.0,Credit Card,2.0
50,2023-11-12,customer49@gmail.com,Japan,44.0,Clothing,149.74,1,0.2,PayPal,5.0
51,2024-03-20,customer50@yahoo.com,Brazil,55.0,Grocery,47.63,1,0.25,Credit Card,
52,2023-10-02,customer51@yahoo.com,Canada,72.0,Electronics,52.71,4,0.0,Credit Card,4.0
53,2024-05-10,customer52@hotmail.com,Canada,27.0,Grocery,47.26,1,0.0,Bank Transfer,3.0
54,2024-06-18,customer53@hotmail.com,Canada,60.0,Grocery,134.56,4,0.15,PayPal,5.0
55,2024-10-17,customer54@yahoo.com,Brazil,42.0,Grocery,122.17,1,0.25,Debit Card,2.0
56,2024-11-28,customer55@yahoo.com,Japan,33.0,Beauty,60.65,2,0.0,PayPal,5.0
57,2024-06-03,customer56@protonmail.com,Mexico,41.0,Home & Kitchen,63.67,2,0.0,Debit Card,4.0
58,2024-07-05,customer57@outlook.com,Brazil,35.0,Clothing,101.76,1,0.05,Credit Card,
59,2024-07-17,customer58@hotmail.com,India,52.0,Clothing,100.13,3,0.1,Debit Card,5.0
60,2023-08-29,customer59@hotmail.com,Brazil,,Home & Kitchen,65.96,2,0.05,Bank Transfer,4.0
61,2024-10-30,customer60@hotmail.com,Japan,51.0,Books,67.12,1,0.05,Credit Card,3.0
62,2024-01-08,customer61@protonmail.com,Australia,54.0,Beauty,105.2,2,0.05,Credit Card,4.0
63,2024-09-25,customer62@hotmail.com,Canada,63.0,Books,21.47,3,0.25,PayPal,4.0
64,2023-06-08,customer63@gmail.com,Japan,,Office Supplies,83.33,4,0.0,Debit Card,5.0
65,2023-08-15,customer64@outlook.com,Australia,57.0,Beauty,80.3,1,0.0,Credit Card,2.0
66,2024-03-28,customer65@yahoo.com,Mexico,68.0,Clothing,135.11,1,0.1,Debit Card,5.0
67,2024-02-27,customer66@yahoo.com,Mexico,51.0,Clothing,87.64,1,0.05,Gift Card,4.0
68,2023-10-21,customer67@yahoo.com,Germany,34.0,Toys,93.09,4,0.0,Credit Card,5.0
69,2023-06-11,customer68@protonmail.com,Canada,61.0,Clothing,44.08,3,0.25,Credit Card,4.0
70,2023-06-16,customer69@protonmail.com,United Kingdom,21.0,Home & Kitchen,46.04,2,0.0,Debit Card,1.0
71,2024-06-14,customer70@yahoo.com,France,40.0,Books,82.23,3,0.0,Debit Card,5.0
72,2023-01-16,customer71@outlook.com,Mexico,30.0,Sports & Outdoors,14.98,5,0.0,Credit Card,3.0
73,2023-03-29,customer72@outlook.com,India,64.0,Clothing,55.03,4,0.25,Debit Card,4.0
74,2024-11-06,customer73@hotmail.com,Mexico,72.0,Home & Kitchen,30.43,5,0.25,Debit Card,5.0
75,2024-12-15,customer74@protonmail.com,United Kingdom,36.0,Home & Kitchen,47.51,2,0.25,Debit Card,5.0
76,2023-02-27,customer75@outlook.com,United States,74.0,Clothing,17.71,1,0.0,Debit Card,
77,2023-04-14,customer76@outlook.com,Japan,72.0,Home & Kitchen,32.8,4,0.0,Credit Card,
78,2023-08-29,customer77@outlook.com,France,38.0,Beauty,126.94,5,0.05,Credit Card,5.0
79,2024-03-03,customer78@outlook.com,France,30.0,Sports & Outdoors,31.22,1,0.05,PayPal,5.0
80,2023-05-20,customer79@protonmail.com,Brazil,45.0,Home & Kitchen,38.79,4,0.0,Debit Card,
81,2024-12-18,customer80@gmail.com,Mexico,67.0,Office Supplies,49.95,3,0.1,Credit Card,
82,2023-12-27,customer81@gmail.com,Canada,66.0,Sports & Outdoors,93.5,5,0.1,Debit Card,5.0
83,2024-01-28,customer82@yahoo.com,Japan,59.0,Electronics,59.64,1,0.15,Credit Card,1.0
84,2023-05-23,customer83@yahoo.com,United States,45.0,Grocery,22.14,2,0.0,Gift Card,4.0
85,2023-08-13,customer84@outlook.com,Australia,42.0,Beauty,16.09,4,0.0,PayPal,4.0
86,2024-06-21,customer85@protonmail.com,United States,72.0,Books,54.87,5,0.0,Credit Card,4.0
87,2024-04-06,customer86@outlook.com,India,49.0,Home & Kitchen,58.92,5,0.0,Credit Card,3.0
88,2023-06-14,customer87@yahoo.com,Australia,65.0,Grocery,108.99,3,0.25,Credit Card,
89,2023-11-19,customer88@yahoo.com,United Kingdom,65.0,Electronics,33.52,2,0.2,Credit Card,5.0
90,2023-05-16,customer89@gmail.com,United Kingdom,60.0,Clothing,143.99,1,0.25,Debit Card,5.0
91,2023-10-25,customer90@gmail.com,Japan,68.0,Grocery,22.34,3,0.2,Credit Card,4.0
92,2023-06-08,customer91@yahoo.com,United Kingdom,53.0,Grocery,22.51,5,0.0,PayPal,5.0
93,2024-12-16,customer92@hotmail.com,Germany,43.0,Sports & Outdoors,53.86,2,0.05,Debit Card,
94,2023-08-06,customer93@protonmail.com,United States,29.0,Electronics,106.99,5,0.15,Credit Card,3.0
95,2023-12-12,customer94@hotmail.com,Germany,21.0,Clothing,75.45,2,0.0,Credit Card,4.0
96,2024-04-13,customer95@protonmail.com,Brazil,28.0,Grocery,32.66,1,0.25,Credit Card,5.0
97,2023-01-30,customer96@yahoo.com,United States,73.0,Beauty,185.72,4,0.2,Debit Card,4.0
98,2023-06-03,customer97@hotmail.com,India,67.0,Grocery,73.46,3,0.25,Debit Card,
99,2024-12-22,customer98@hotmail.com,United Kingdom,45.0,Electronics,77.61,4,0.0,Credit Card,3.0
100,2024-05-23,customer99@protonmail.com,Brazil,31.0,Office Supplies,101.14,5,0.0,Credit Card,
101,2023-06-26,customer100@yahoo.com,Canada,23.0,Home & Kitchen,79.18,1,0.15,Gift Card,4.0
102,2023-11-11,customer101@gmail.com,Canada,31.0,Clothing,48.45,3,0.2,Debit Card,5.0
103,2024-09-17,customer102@protonmail.com,India,31.0,Grocery,155.65,2,0.0,Debit Card,5.0
104,2023-05-24,customer103@hotmail.com,Mexico,66.0,Clothing,136.18,3,0.0,Credit Card,4.0
105,2023-08-07,customer104@hotmail.com,United Kingdom,59.0,Sports & Outdoors,170.62,2,0.0,Credit Card,
106,2023-06-25,customer105@outlook.com,Mexico,20.0,Toys,51.85,1,0.1,PayPal,4.0
107,2024-04-30,customer106@gmail.com,India,18.0,Grocery,152.24,3,0.0,PayPal,5.0
108,2024-01-20,customer107@gmail.com,United Kingdom,58.0,Electronics,31.54,3,0.1,Credit Card,4.0
109,2024-01-01,customer108@yahoo.com,India,25.0,Electronics,66.72,4,0.0,Credit Card,5.0
110,2023-10-04,customer109@hotmail.com,Mexico,53.0,Sports & Outdoors,99.35,3,0.15,Debit Card,4.0
111,2023-08-28,customer110@protonmail.com,Germany,43.0,Grocery,26.64,4,0.15,Credit Card,4.0
112,2024-01-11,customer111@outlook.com,France,20.0,Automotive,163.85,4,0.25,Bank Transfer,5.0
113,2024-08-06,customer112@outlook.com,United Kingdom,55.0,Clothing,48.61,1,0.0,Debit Card,5.0
114,2024-08-16,customer113@hotmail.com,United States,28.0,Beauty,139.56,3,0.0,Gift Card,5.0
115,2024-07-26,customer114@hotmail.com,Mexico,30.0,Clothing,28.6,3,0.0,Credit Card,4.0
116,2023-02-03,customer115@protonmail.com,Australia,35.0,Clothing,65.79,4,0.0,Debit Card,4.0
117,2023-12-24,customer116@yahoo.com,Canada,71.0,Electronics,42.71,1,0.0,Credit Card,3.0
118,2023-10-15,customer117@yahoo.com,Australia,30.0,Home & Kitchen,42.92,1,0.1,Gift Card,2.0
119,2024-11-13,customer118@hotmail.com,Brazil,32.0,Electronics,31.0,5,0.15,Debit Card,5.0
120,2023-10-31,customer119@gmail.com,India,27.0,Home & Kitchen,29.44,4,0.0,PayPal,5.0
121,2023-06-30,customer120@hotmail.com,Brazil,68.0,Home & Kitchen,33.59,3,0.0,Credit Card,4.0
122,2023-07-03,customer121@protonmail.com,Germany,66.0,Grocery,32.85,1,0.1,Debit Card,4.0
123,2023-05-23,customer122@hotmail.com,Mexico,72.0,Home & Kitchen,122.81,2,0.0,Debit Card,1.0
124,2023-11-19,customer123@hotmail.com,Brazil,70.0,Grocery,133.05,4,0.2,Credit Card,4.0
125,2023-07-12,customer124@outlook.com,France,46.0,Grocery,25.72,4,0.0,PayPal,5.0
